question,choice_a,choice_b,choice_c,choice_d,answer,level
What is 'threading' in Python?,Running code in parallel,Running code in one process,File management,GUI tool,A,Veteran
What is 'multiprocessing'?,Different threads,Different CPU processes,Memory tool,None,B,Veteran
What is the 'Global' keyword scope?,Entire system,Module level,Function level,Class level,B,Veteran
What is 'Nonlocal' keyword?,Global access,Access to enclosing scope,Access to class,None,B,Veteran
What is 'property' decorator?,Sets price,Getter/Setter/Deleter for attr,Makes it public,None,B,Veteran
What is '__call__' method?,Calls a class,Makes instance callable like function,Calls a file,None,B,Veteran
What is '__getitem__'?,Sets item,Makes object indexable,Gets file,None,B,Veteran
What is a 'weakref'?,Strong link,Reference that doesn't stop GC,Deleted ref,None,B,Veteran
What is 'gc.collect()'?,Deletes files,Manually triggers garbage collection,Sorts data,None,B,Veteran
What is 'f-string' with '='?,Assignment,Displays name and value for debug,Math check,None,B,Veteran
What is 'collections.deque'?,Dictionary,Double-ended queue,List,Set,B,Veteran
What is 'heapq' used for?,Sorting,Priority queue algorithms,Memory stack,None,B,Veteran
What is 'bisect' module?,Splits files,Binary search/insert in sorted list,Math tool,None,B,Veteran
What is 'dis' module?,Distance,Disassembler for Python bytecode,Debug info,None,B,Veteran
What is '__repr__'?,User string,Official string for developers,Binary data,None,B,Veteran
"What is the result of 'bool(""False"")'?",True,False,Error,None,A,Veteran
What is 'dataclass'?,Class for data only,Decorator for data-oriented classes,DB connection,None,B,Veteran
What is 'enum' module?,Enumerations,Numbers,Math,Strings,A,Veteran
What is 'hash()'?,Security tool,Returns hash value of object,Random number,None,B,Veteran
Which objects are hashable?,Lists,Dictionaries,"Immutables (Tuple, Str, Int)",Sets,C,Veteran
What is 'functools.lru_cache'?,Clears cache,Least Recently Used cache decorator,Fast memory,None,B,Veteran
What is 'inspect' module?,Checks files,Examines live objects,Virus scan,None,B,Veteran
What is 'typing.Any'?,Any string,Any data type,Empty type,None,B,Veteran
What is 'pathlib'?,String paths,Object-oriented filesystem paths,Web paths,None,B,Veteran
What is 'Walrus' operator availability?,Python 2,Python 3.8+,Python 3.0,Python 3.5,B,Veteran
What is 'Ellipsis' (...)?,Error,Placeholder object,End of code,None,B,Veteran
What is '__dict__' attribute?,Dictionary of class attributes,Function list,Method list,None,A,Veteran
What is the result of 'id(x)'?,Variable name,Memory address,Value,Type,B,Veteran
